Arabic,English
،,","
لا,no
من,from
في,in
أن,that
هذا,this
على,on
ما,what
أنا,I
هل,Do
و,And
يا,Hey
ذلك,that
لقد,lhave
لم,did not
ماذا,What
كان,He was
هنا,here
إلى,to
أنت,You
هو,he
هذه,This is amazing
عن,on
نعم,Yes
ان,that
هناك,there
كل,all
حسناً,Good
ليس,not
كنت,I was
فقط,Just
شيء,something
الآن,now
مع,with
الذي,that
لكن,but
أجل,Okay
لك,for you
يجب,He should
لن,won't
كيف,how
حسنا,Good
انا,I
لي,for me
إنه,that it
سوف,will
نحن,we
إذا,if
كانت,She was
عندما,when
أي,any
قد,may be
لماذا,Why
هي,she
الأمر,Order
أنه,that it
فى,in
حتى,until
بعد,after
كذلك,like that
أو,or
ولكن,But
قبل,before
التي,that
انه,that it
إنها,that it
ـ,-
لو,if
ربما,maybe
أين,where
هيا,Let's go
تلك,That
أعرف,I know
الى,to
إن,that
يكون,He is
بعض,some
أريد,I want
أعتقد,I believe
انت,You
عليك,upon you
مثل,like
صحيح,correct
به,with it
أنك,You are
الوقت,the time
بخير,fine
أعلم,Know
أحد,One
شخص,person
جداً,very
رجل,man
شكراً,Thanks
لذا,So
يمكن,maybe
كما,as
كلا,both
أكثر,more
يبدو,It seems
جيد,good
تكون,Formation
علي,on
اليوم,today
يمكنك,You could
انها,that it
أليس,Alice
مرحباً,Welcome
لدي,I have
عليه,on him
آخر,last
لست,Prejudice
منذ,since
غير,not
أيها,O you
لديك,You have
حقاً,truly
أنتِ,You
تريد,You want
أستطيع,I can
الرجل,the man
تعرف,to get to know
له,for him
مرة,Once
لدينا,we've got
أنها,that it
يمكنني,I can
بأن,That
واحد,One
أنني,I am
أوه,Oh
سيكون,Will be
الناس,the people
ليست,Not
حدث,It happened
بها,In
أيضاً,also
أفضل,better
الكثير,a lot
علينا,We
سيدي,my lord
مكان,place
تفعل,are doing
وقت,time
يكن,Be
ط,I
شئ,a thing
بهذا,by this
وأنا,Me
اذا,if
جدا,very
بي,with me
أخرى,Others
آسف,Sorry
بك,Infection
رائع,amazing
بذلك,That
كم,how much
إذاً,if
ثم,then
شيئاً,Something
يوجد,There is
واحدة,one
ولا,no
قلت,I said
يحدث,It is happening
بالطبع,naturally
شكرا,Thanks
مرحبا,Welcome
يوم,day
أبي,my dad
معك,with you
لها,she has
معي,with me
سيد,sir
تعلم,to learn
إذن,permission
العمل,the job
تم,It was completed
المكان,Place
الليلة,Tonight
إلهي,divine
لهذا,For this
فعل,an act
هكذا,thus
أمي,My mom
لذلك,So
ألا,unless
لـ,For
الان,now
حول,around
بما,With
حقا,truly
الحقيقة,the truth
الجميع,everyone
يمكننا,We can
بالتأكيد,certainly
لأن,because
لديه,he have
لنا,for us
خلال,during
ظ,P
بشكل,In a way
العالم,the world
فحسب,Just
حال,State
الذهاب,going
عليها,on her
بـ,In
أعني,I mean
فعلت,I did
قال,He said
هم,they
المنزل,the home
عنه,about him
ها,Ha
بشأن,about
أفعل,I do
أكون,I be
اللعنة,the curse
للغاية,Extremely
فيه,in it
بين,between
أننا,We are
منك,From you
وهذا,and this is
لكِ,for you
جيدة,Good
يعني,Means
مجرد,merely
أظن,I suspect
انك,You are
مني,Mona
أنّ,that
بالنسبة,with regards
الأمور,Matters
فكرة,an idea
أم,Mother
متى,when
الشيء,Thing
المال,the money
كنا,We were
أقول,I say
عمل,a job
أبداً,never
ستكون,it will be
عليّ,on
أيّ,any
أمر,Command
تقول,Says
توقف,to stop
هؤلاء,these
السيد,Mr.
انظر,Look
لما,when
منه,from him
الطريق,The Road
أشعر,I feel
حصلت,I got
الحياة,life
أني,that I
نفس,same
معه,With
بحاجة,Need
بسبب,because of
الذين,Whose
تستطيع,Could you
بأس,Wicked
اي,any
بدون,without
لكم,to you
تبدو,Appear
أرى,Show
الجحيم,Hell
تكن,Being
اعتقد,I believe
عند,when
آسفة,sorry
حيث,where
دائماً,always
وأنت,And you
تحت,under
حسنًا,Good
تعال,Come here
بالفعل,actually
بل,but rather
فضلك,Please
الأشياء,The things
ليلة,a night
نفسك,yourself
لكي,in order to
تعتقد,U think
وهو,and he
بحق,Right
مشكلة,problem
شيئا,Something
أرجوك,Please
أذهب,Go
يريد,Wants
تماماً,completely
الـ,The
الوحيد,the only
قتل,killing
إنهم,that they
الشخص,the person
رأيت,I saw
عزيزتي,My dear
طوال,throughout
بهذه,With this
الشرطة,the police
الأن,now
أحب,I love
الذى,that
أيضا,also
بنا,coffee beans
أردت,I wanted
أكن,Be
كلّ,all
النار,fire
سمعت,I heard
اجل,Okay
جميع,all
أَنْ,that
قليلاً,a little
مالذي,Cosmopolitical
بأنه,As
والآن,And now
إلي,to
انتظر,I am waiting
فتاة,girl
كبير,big
يعرف,Known
او,or
فيها,In which
حسنٌ,Hassan
الرجال,Men
اريد,I want
لأنه,Because he
السبب,the reason
سنوات,Years
الباب,The Door
نذهب,We go
دون,Without
حياتي,my life
لابد,It must
السيارة,The Car
تريدين,You want
خارج,Outside
ومن,And from
ثلاثة,three
فعله,To do
تذهب,Go
كانوا,they were
اذهب,Go
الحصول,Get
يقول,He says
الواقع,reality
كثيراً,a lot
اعرف,I know
أنهم,that they
سبب,a reason
كبيرة,big
مما,Than
أحتاج,I need
قمت,I did
إنّه,that it
منها,Of which
كنتُ,I was
للتو,just yet
استطيع,I can
نوع,Type
هنالك,there
تعرفين,You know
جميلة,beautiful
بكل,With all
دولار,dollar
بأنك,You are
لأنني,because I
الأفضل,The best
دائما,always
جديد,new
الامر,Matter
اين,where
بالضبط,exactly
جون,John
دعنا,Let's
أنظر,Look
المدينة,City
الخاص,private
تعلمين,Learn
جميل,Beautiful
بسرعة,quickly
الأرض,the earth
لحظة,Moment
الطريقة,Method
طريقة,road
رائعة,amazing
سعيد,happy
دقيقة,minute
لكنه,But he
غرفة,room
إليه,mechanism
التحدث,Talk
ثانية,second
دعني,Leave me
لكنني,But I am
الفتاة,the girl
لمَ,did not
ولم,And not
أنتم,you all
عظيم,great
انهم,that they
اوه,Oh
جيداً,well
لديّ,I have
بينما,while
نفسي,myself
إليك,To you
قام,Stand up
لديها,she has
عام,general
اعلم,Know
يعمل,He works
سأكون,I will be
عيد,holiday
رفاق,comrades
ألم,pain
لهم,for them
تعمل,Working
تتحدث,Spoke
القيام,The performance
الله,God
ساعة,hour
المرة,Bitter
هيّا,Let's go
ترى,See
مهلاً,Hey
جاك,Jack
أنتَ,You
الخير,The good
متأكد,sure
جميعاً,All
أحاول,I'm trying
شيئ,something
الموت,death
رقم,number
منهم,who are they
سيارة,car
مجدداً,again
ايها,O you
عنك,About you
يفعل,Do
فقد,Lost
ذهبت,I went
المزيد,More
أتمنى,I hope
مات,He died
يتم,Complete
لكني,But I am
طريق,road
وجدت,Found
وقد,To
أول,first
معها,with her
سعيدة,happy
لدى,I have
أقصد,I mean
إلا,unless
صباح,morning
الرئيس,President
احد,One
فرصة,an opportunity
الأولى,First
تباً,Damn
يرام,Dignity
عليكِ,upon you
يكفي,It is enough
علاقة,relationship
صغيرة,Small
الأقل,the least
لأنك,because you are
غريب,strange
لنذهب,Let's go
المدرسة,the school
ــ,-
الصباح,the morning
أفهم,I understand
حين,when
صديقي,my friend
سأذهب,I will go
أنكِ,You are
تأتي,Come
الخاصة,Special
أخبرني,Tell me
تقوم,get up
نستطيع,We can
نفسه,Himself
التى,that
الأطفال,children
حالة,condition
لى,for me
هى,she
يستطيع,Can
يجري,Being
سنة,year
نفعل,Do
أتعلم,you know what
نهاية,end
أفكر,think
أود,Preach
عشر,ten
شىء,something
أقوم,I do
الحب,love
أنّه,that it
كنتِ,I was
معاً,together
أى,any
انني,I am
لديهم,They have
جديدة,New
يعلم,Know
قالت,She said
بدأت,Start
الأول,the first
دقائق,minutes
عني,About Me
سيدة,Mrs.
حالك,You are
إنني,I am
عزيزي,my dear
رجال,men
نعرف,We know
الجنس,Sex
؛,;
رؤية,Vision
ينبغي,Should
الي,to
حصل,happened
معنا,With us
الطفل,Child
وليس,Not
كي,in order to
تحتاج,need
قليلا,a little
حياة,life
اسمع,Listen
الساعة,the hour
أكبر,Larger
اليس,Elice
فهمت,Understood
عنها,about her
أريدك,I want you
رجاءً,please
تفعله,Do it
وماذا,and what
ظننت,I thought
سيدتي,my lady
البعض,Some
الصغير,Little
تعني,Means
إنّها,that it
البيت,the house
رأيك,Your opinion
تكوني,You are
هُنا,here
والدك,Your father
مهما,Whatever
العودة,Return
تماما,completely
لطيف,Nice
يقوم,get up
السجن,the prison
الليل,the night
السيدة,Mrs.
أخي,my brother
بأنني,That I am
طويلة,long
والدي,my father
وهي,Which
حان,Come
أقل,less
الهاتف,the phone
عبر,via
مهلا,Tolerate
ترجمة,translation
نحتاج,We need
أيتها,Oh
وما,gesticulate
اكثر,more
أتحدث,I speak
أيام,days
أحدهم,One of them
أولاً,Firstly
الماضي,the past
أحبك,I love you
الطعام,the food
البقاء,Survival
معرفة,knowledge
العام,Year
أية,any
ل,to
أصبح,had become
ذات,In the same
الجديد,the new
مِنْ,from
لكنك,but you are
أبدا,never
وضع,situation
ً,A
سيئة,Bad
طفل,child
فوق,above
حياتك,Life
داخل,inside
وكان,Be
نكون,We are
خطأ,mistake
سام,Sam
ونحن,We are
منزل,a house
تشعر,feel
عليهم,on them
المفترض,Supposed
نتحدث,we are talking
طويل,long
نصف,half
فريق,a team
أخذ,Taking
الماء,water
لاحقاً,Later
حق,right
يأتي,Come
صديق,friend
غداً,tomorrow
سأفعل,I will do
منا,from U.S
الصغيرة,Small
نريد,We want
وانا,Me
للمنزل,For home
ايضا,also
آه,Yes
خذ,Take
جزء,part
لكنها,but she
جو,Atmosphere
أشياء,Things
كلمة,word
تفعلين,You do
أعمل,Work
يمكنه,Enable
الآخر,The other
تحاول,Tried
هَلْ,Do
صغير,small
لستُ,I am not
بخصوص,regarding
أخبرك,I tell you
الحال,adverb
بأي,With any
نظرة,a look
لأجل,For
الخروج,Exit
تظن,You think
النوم,sleep
الماضية,Past
دكتور,doctor
المرأة,woman
انظري,Look at
بد,Be
لمدة,Period
وجود,Existence
الحرب,the war
ذا,Be
تقلق,Worry
بلا,without
عرفت,I knew
ثلاث,three
هلا,Do
أدري,I know
اللعين,Dreaded
ذهب,gold
الا,unless
المشكلة,the problem
الأسبوع,the week
الوحيدة,The only one
كله,Entire
تعالي,Come here
مايكل,Michael
إنك,You are
كلاّ,both
حاولت,I tried
أهلاً,Hello
دعونا,We Invited
اخرى,Others
أنّك,You are
وشك,Suspicious
فعلاً,actually
وسوف,will
عائلة,family
افعل,I do
عدم,non
أخبرتك,I told you
كثيرا,a lot
سيدى,my lord
رئيس,president
فأنا,I am
الغرفة,the room
وحسب,According to
المساعدة,Help
الخارج,the outside
بعيداً,Away
أعطني,Give me
اذن,permission
سيء,bad
العديد,Many
أصبحت,I became
الطبيب,the doctor
رسالة,message
خمسة,five
كَانَ,He was
يذهب,He goes
العشاء,dinner
الفتيات,the girls
النساء,Women
ضد,against
تحصل,Obtain
نقوم,We do
جيدا,well
يهم,Matches
بهم,They are
الموضوع,the topic
وفي,In
الممكن,Possible
اخر,last
الفتى,Boy
مباشرة,directly
بالأمر,By order
أتذكر,I remember
بيت,house
مايك,Mike
لأني,because I am
بطريقة,in a way
ساعات,hours
حينما,While
فترة,a period
الأشخاص,People
نيويورك,New York
أراك,See you
أنتي,female
شكرًا,Thanks
اسم,name
قصة,story
توجد,Exist
القادمة,Upcoming
امرأة,woman
فتى,boy
أَنا,I
افضل,better
حقيقي,TRUE
بواسطة,by
مجنون,crazy
زوجتي,my wife
أهذا,Is this
متأكدة,Skeptical
ذاهب,Going
يحصل,Gets
تحب,Love
أتعرف,Know
النهاية,the end
مكتب,office
ولن,He will not
مثلك,like you
اننا,We are
بالخارج,Outside
لهذه,For this
الحق,Right
بلى,indeed
أصدق,believe
أخر,last
آمل,hope
اه,Yes
أنْ,that
الإطلاق,Release
فرانك,Frank
طلب,to request
بدأ,seem
لعبة,Game
مرحبًا,Welcome
جورج,George
قريباً,almost
اني,that I
مجموعة,group
أمام,Before
الحديث,the talk
جي,J
مساعدتك,Your help
حاول,Try
شخصاً,A person
حقيقة,fact
جميعا,All of all
اللقاء,Meeting
وبعد,After
مدى,Bezel
صورة,picture
بأنها,That is
سوى,but
التفكير,Thinking
الملك,the king
الأخيرة,Last
الثانية,the second
فهو,Being
مِن,from
تحدث,to speak
فيما,In
الوضع,the situation
عدد,number
حفلة,a party
ولكني,But
لسنا,We are not
تبقى,Stay
بشيء,Something
مدينة,city
كهذا,Like this
كلها,all of which
انتهى,I finish
كُلّ,all
يحاول,Try
نحو,Toward
أشهر,Months
مثير,arousing
شركة,a company
تفهم,Understand
اسف,Sorry
الجديدة,New
لكل,for every
أصدقاء,friends
النوع,Type
الجيد,Good
اى,any
إليها,to her
بأني,By me
ميت,dead
بيننا,Between us
الرب,God
عملية,practical
ذو,Bicker
بيتر,Peter
بعضنا,Some of us
القضية,the case
وكل,And all
أحضر,Bring
قيد,Restriction
تشارلي,Charlie
أخرج,Get out
قادم,coming
الواضح,Clear
دعيني,Leave me
تفضل,Help yourself
توم,Tom
أتيت,I came
أيضًا,also
أسمع,Listen
تأخذ,Take
قول,say
العائلة,the family
بنفسك,by yourself
موعد,an appointment
عندي,I have
أثناء,during
ممكن,maybe
تخبرني,You tell me
إذًا,if
الكبير,Great
صاح,Hoot
إنتظر,I am waiting
الزواج,marriage
فعلته,I did it
بكِ,You
ولكنه,But
حبيبتي,My dear
تذكر,to remember
أمك,Your mother
مستحيل,impossible
اعتقدت,I believed
مليون,million
إليّ,to
علم,science
قل,Say
طلبت,Requested
ربّما,maybe
ذاك,that
حسن,Hassan
الأخرى,The other
يحتاج,Need
تعود,Return
الهي,divine
زلت,Remove
نسيت,I forgot
وصلت,It arrived
انتظري,Wait
نعلم,Teach
أنّي,that I
النظر,look
إذهب,Go
أتريد,you want to
عدة,several
سيحدث,It will happen
ابن,son
لديكِ,You have
الصعب,Difficult
تقريباً,almost
الحظ,Luck
ألف,one thousand
مساعدة,help
تصبح,Become
سأقوم,I will do
جين,Gene
جئت,I came
خلف,behind
خمس,five
د,Dr
الحقيقي,Real
منكم,You are from you
دي,De
يمكنكِ,You could
أربعة,four
القليل,Little
يزال,Remove
الدم,the blood
إننا,We are
أسرع,faster
البداية,the beginning
سأعود,I'll come back
صعب,difficult
بعيدا,Away
كن,Be
عرض,an offer
بكثير,Much
وعندما,And when
اسمه,its name
تفكر,Contemplate
آنسة,Ms
تعتقدين,You think
فقدت,Lost
مهم,Important
يتحدث,He speaks
بتلك,That
لأي,for any
بعدها,Then
يريدون,They want
يوماً,One day
يعود,Back
جاء,came
هُناك,there
أتعلمين,You know
ترك,to leave
المناسب,the appropriate
السؤال,the question
اكون,I be
الآخرين,Others
تقصد,You mean
اتصل,Call
تبدين,You look
للعمل,for work
معهم,With them
التالي,the next
شرطة,police
قط,cat
جريمة,a crime
أبحث,Search
توقفي,Stop
بنفسي,by myself
الشمس,the sun
فكرت,I think
يفترض,Supposedly
السماء,the sky
الوصول,Access
الجانب,the side
أحصل,Get
عشرة,ten
معا,together
الداخل,Inside
أعود,I come back
المعلومات,the information
تحمل,to bear
حَسناً,Good
أطفال,children
الثاني,the second
جيّد,good
هذة,This is amazing
ببعض,Some
يارجل,Hey man
ماري,Marie
بكم,with you
وداعاً,Farewell
يعد,Prepare
الأيام,the days
أسوأ,worst
مشاكل,problems